gene_symbol,ensembl_gene_id,chr,start_hg19,end_hg19,finan_tier,dgidb_n_interactions,dgidb_drugs,in_mr_screen,notes
COL5A2,ENSG00000204262,2,189896622,190044605,Tier 3B,,,TRUE,""
COL5A3,ENSG00000080573,19,10070237,10121147,Tier 3B,,,TRUE,""
COL6A1,ENSG00000142156,21,47401651,47424964,Tier 3A,,,TRUE,""
COL6A2,ENSG00000142173,21,47518011,47552763,Tier 3B,,,TRUE,""
COL6A3,ENSG00000163359,2,238232646,238323018,Tier 3A,,,TRUE,""
COL6A5,ENSG00000172752,3,130064359,130203688,Tier 3B,,,TRUE,""
COL6A6,ENSG00000206384,3,130279178,130396999,Tier 3B,,,TRUE,""
COL7A1,ENSG00000114270,3,48601506,48632700,Tier 3B,,,TRUE,""
COL8A1,ENSG00000144810,3,99357319,99518070,Tier 3A,,,TRUE,""
COL8A2,ENSG00000171812,1,36560837,36590821,Tier 3A,,,TRUE,""
COL9A1,ENSG00000112280,6,70924764,71012786,Tier 3B,,,TRUE,""
COL9A2,ENSG00000049089,1,40766159,40783488,Tier 3B,,,TRUE,""
COL9A3,ENSG00000092758,20,61447596,61472511,Tier 3A,,,TRUE,""
COLEC10,ENSG00000184374,8,120007691,120118821,Tier 3A,,,TRUE,""
COLQ,ENSG00000206561,3,15491640,15563258,Tier 3B,,,TRUE,""
COMP,ENSG00000105664,19,18893583,18902123,Tier 3B,,,TRUE,""
COMT,ENSG00000093010,22,19929130,19957498,Tier 1,,,TRUE,""
COPA,ENSG00000122218,1,160259063,160313190,Tier 3B,,,TRUE,""
CORIN,ENSG00000145244,4,47596015,47840123,Tier 3A,,,TRUE,""
CORT,ENSG00000241563,1,10509776,10511959,Tier 3B,,,TRUE,""
CP,ENSG00000047457,3,148880197,148939842,Tier 3A,,,TRUE,""
CPA1,ENSG00000091704,7,130020180,130027955,Tier 2,,,TRUE,""
CPA2,ENSG00000158516,7,129906667,129929638,Tier 3B,,,TRUE,""
CPA3,ENSG00000163751,3,148583043,148614983,Tier 2,,,TRUE,""
CPA4,ENSG00000128510,7,129932974,129964020,Tier 3B,,,TRUE,""
CPA5,ENSG00000158525,7,129984630,130008571,Tier 3B,,,TRUE,""
CPA6,ENSG00000165078,8,68334360,68658620,Tier 3B,,,TRUE,""
CPAMD8,ENSG00000160111,19,17003758,17137625,Tier 3A,,,TRUE,""
CPB1,ENSG00000153002,3,148508889,148577974,Tier 2,,,TRUE,""
CPB2,ENSG00000080618,13,46627321,46679211,Tier 2,,,TRUE,""
CPE,ENSG00000109472,4,166282346,166419472,Tier 3A,,,TRUE,""
CPM,ENSG00000135678,12,69235977,69365350,Tier 2,,,TRUE,""
CPN1,ENSG00000120054,10,101801950,101841634,Tier 2,,,TRUE,""
CPN2,ENSG00000178772,3,194060494,194072057,Tier 3B,,,TRUE,""
CPQ,ENSG00000104324,8,97657455,98161882,Tier 3A,,,TRUE,""
CPS1,ENSG00000021826,2,211342406,211543831,Tier 1,,,TRUE,""
CPT1A,ENSG00000110090,11,68522088,68611878,Tier 2,,,TRUE,""
CPT1B,ENSG00000205560,22,51007290,51017899,Tier 2,,,TRUE,""
CPT2,ENSG00000157184,1,53662101,53679869,Tier 2,,,TRUE,""
CPXM1,ENSG00000088882,20,2774715,2781283,Tier 3A,,,TRUE,""
CPXM2,ENSG00000121898,10,125465723,125699783,Tier 3B,,,TRUE,""
CPZ,ENSG00000109625,4,8594387,8621488,Tier 3B,,,TRUE,""
CR1,ENSG00000203710,1,207669492,207813992,Tier 3A,,,TRUE,""
CR1L,ENSG00000197721,1,207818458,207911761,Tier 3A,,,TRUE,""
CR2,ENSG00000117322,1,207627575,207663240,Tier 3A,,,TRUE,""
CRB1,ENSG00000134376,1,197170592,197447585,Tier 3A,,,TRUE,""
CRB2,ENSG00000148204,9,126118449,126142603,Tier 3A,,,TRUE,""
CREBBP,ENSG00000005339,16,3775055,3930727,Tier 2,,,TRUE,""
CREG1,ENSG00000143162,1,167498914,167523004,Tier 3B,,,TRUE,""
CREG2,ENSG00000175874,2,101962013,102004057,Tier 3A,,,TRUE,""
CRELD2,ENSG00000184164,22,50311815,50321188,Tier 3A,,,TRUE,""
CRH,ENSG00000147571,8,67088620,67090960,Tier 3B,,,TRUE,""
CRHBP,ENSG00000145708,5,76248538,76276983,Tier 3B,,,TRUE,""
CRHR1,ENSG00000120088,17,43699267,43913194,Tier 1,,,TRUE,""
CRHR2,ENSG00000106113,7,30692200,30739745,Tier 3B,,,TRUE,""
CRIM1,ENSG00000150938,2,36583069,36778278,Tier 3A,,,TRUE,""
CRISP1,ENSG00000124812,6,49801970,49844809,Tier 3B,,,TRUE,""
CRISP2,ENSG00000124490,6,49660073,49681274,Tier 3B,,,TRUE,""
CRISP3,ENSG00000096006,6,49695097,49712150,Tier 3B,,,TRUE,""
CRISPLD2,ENSG00000103196,16,84853590,84954374,Tier 3A,,,TRUE,""
CRLF1,ENSG00000006016,19,18683030,18718551,Tier 3A,,,TRUE,""
CRLF2,ENSG00000205755,X,1314890,1331616,Tier 1,,,TRUE,""
CRP,ENSG00000132693,1,159682079,159684379,Tier 3A,,,TRUE,""
CRTAC1,ENSG00000095713,10,99624757,99790585,Tier 3A,,,TRUE,""
CRTAM,ENSG00000109943,11,122709208,122743347,Tier 3B,,,TRUE,""
CRTAP,ENSG00000170275,3,33155471,33189265,Tier 3B,,,TRUE,""
CRY2,ENSG00000121671,11,45868669,45904798,Tier 3A,,,TRUE,""
CSF1,ENSG00000184371,1,110452864,110473614,Tier 1,,,TRUE,""
CSF1R,ENSG00000182578,5,149432854,149492935,Tier 1,,,TRUE,""
CSF2,ENSG00000164400,5,131409483,131411859,Tier 1,,,TRUE,""
CSF2RA,ENSG00000198223,X,1387693,1429274,Tier 1,,,TRUE,""
CSF2RB,ENSG00000100368,22,37309670,37336491,Tier 3A,,,TRUE,""
CSF3,ENSG00000108342,17,38171614,38174066,Tier 3A,,,TRUE,""
CSF3R,ENSG00000119535,1,36931644,36948879,Tier 1,,,TRUE,""
CSH1,ENSG00000136488,17,61972275,61974021,Tier 3A,,,TRUE,""
CSH2,ENSG00000213218,17,61949372,61951126,Tier 3A,,,TRUE,""
CSHL1,ENSG00000204414,17,61986957,61996198,Tier 3A,,,TRUE,""
CSK,ENSG00000103653,15,75074398,75095539,Tier 1,,,TRUE,""
CSN1S1,ENSG00000126545,4,70796799,70812289,Tier 3B,,,TRUE,""
CSN2,ENSG00000135222,4,70820974,70826725,Tier 3B,,,TRUE,""
CSN3,ENSG00000171209,4,71108305,71117145,Tier 3B,,,TRUE,""
CSNK1A1,ENSG00000113712,5,148871760,148931007,Tier 1,,,TRUE,""
CSNK1A1L,ENSG00000180138,13,37677398,37679803,Tier 2,,,TRUE,""
CSNK1D,ENSG00000141551,17,80196899,80231607,Tier 1,,,TRUE,""
CSNK1E,ENSG00000213923,22,38686697,38794527,Tier 1,,,TRUE,""
CSNK1G1,ENSG00000169118,15,64457716,64648442,Tier 2,,,TRUE,""
CSNK1G2,ENSG00000133275,19,1941188,1981337,Tier 2,,,TRUE,""
CSNK1G3,ENSG00000151292,5,122847793,122952739,Tier 2,,,TRUE,""
CSNK2A1,ENSG00000101266,20,459116,524465,Tier 1,,,TRUE,""
CSNK2A2,ENSG00000070770,16,58191811,58231824,Tier 2,,,TRUE,""
CSPG4,ENSG00000173546,15,75966663,76005189,Tier 3B,,,TRUE,""
CSPG5,ENSG00000114646,3,47603729,47622282,Tier 3B,,,TRUE,""
CST1,ENSG00000170373,20,23728190,23731905,Tier 3B,,,TRUE,""
CST2,ENSG00000170369,20,23804406,23807368,Tier 3A,,,TRUE,""
CST3,ENSG00000101439,20,23608534,23619110,Tier 3A,,,TRUE,""
CST4,ENSG00000101441,20,23666277,23669677,Tier 3B,,,TRUE,""
CST5,ENSG00000170367,20,23856572,23860387,Tier 3A,,,TRUE,""
CST6,ENSG00000175315,11,65779312,65780976,Tier 3B,,,TRUE,""
CST7,ENSG00000077984,20,24929866,24940564,Tier 3B,,,TRUE,""
CST8,ENSG00000125815,20,23471738,23476655,Tier 3B,,,TRUE,""
CST9,ENSG00000173335,20,23583047,23586513,Tier 3A,,,TRUE,""
CST9L,ENSG00000101435,20,23545369,23549386,Tier 3A,,,TRUE,""
CTBS,ENSG00000117151,1,85015289,85040163,Tier 3B,,,TRUE,""
CTDSP1,ENSG00000144579,2,219262979,219270664,Tier 2,,,TRUE,""
CTF1,ENSG00000150281,16,30907928,30914881,Tier 3A,,,TRUE,""
CTGF,ENSG00000118523,6,132269316,132272513,Tier 1,,,TRUE,""
CTHRC1,ENSG00000164932,8,104383743,104395225,Tier 3B,,,TRUE,""
CTLA4,ENSG00000163599,2,204732509,204738683,Tier 1,,,TRUE,""
CTNNB1,ENSG00000168036,3,41236328,41301587,Tier 2,,,TRUE,""
CTRB1,ENSG00000168925,16,75252898,75258822,Tier 2,,,TRUE,""
CTRB2,ENSG00000168928,16,75237994,75241083,Tier 3A,,,TRUE,""
CTRC,ENSG00000162438,1,15764935,15775737,Tier 2,,,TRUE,""
CTRL,ENSG00000141086,16,67961543,67966317,Tier 3A,,,TRUE,""
CTSA,ENSG00000064601,20,44518783,44527459,Tier 2,,,TRUE,""
CTSB,ENSG00000164733,8,11700033,11726957,Tier 1,,,TRUE,""
CTSC,ENSG00000109861,11,88026760,88070955,Tier 2,,,TRUE,""
CTSD,ENSG00000117984,11,1773982,1785222,Tier 1,,,TRUE,""
CTSE,ENSG00000196188,1,206317459,206332104,Tier 1,,,TRUE,""
CTSF,ENSG00000174080,11,66330934,66336312,Tier 2,,,TRUE,""
CTSG,ENSG00000100448,14,25042728,25045466,Tier 2,,,TRUE,""
CTSH,ENSG00000103811,15,79213400,79241916,Tier 2,,,TRUE,""
CTSK,ENSG00000143387,1,150768684,150780799,Tier 1,,,TRUE,""
CTSL,ENSG00000135047,9,90340434,90346308,Tier 1,,,TRUE,""
CTSS,ENSG00000163131,1,150702672,150738433,Tier 1,,,TRUE,""
CTSV,ENSG00000136943,9,99794940,99801925,Tier 1,,,TRUE,""
CTSW,ENSG00000172543,11,65647280,65651212,Tier 3A,,,TRUE,""
CTSZ,ENSG00000101160,20,57570240,57582302,Tier 2,,,TRUE,""
CX3CL1,ENSG00000006210,16,57406370,57418960,Tier 3B,,,TRUE,""
CX3CR1,ENSG00000168329,3,39304985,39323226,Tier 2,,,TRUE,""
CXADR,ENSG00000154639,21,18884700,18965897,Tier 3B,,,TRUE,""
CXCL1,ENSG00000163739,4,74735110,74736959,Tier 3B,,,TRUE,""
CXCL10,ENSG00000169245,4,76942273,76944650,Tier 1,,,TRUE,""
CXCL11,ENSG00000169248,4,76954835,76962568,Tier 3B,,,TRUE,""
CXCL12,ENSG00000107562,10,44793038,44881941,Tier 3A,,,TRUE,""
CXCL13,ENSG00000156234,4,78432907,78532988,Tier 3B,,,TRUE,""
CXCL14,ENSG00000145824,5,134906373,134914969,Tier 3B,,,TRUE,""
CXCL16,ENSG00000161921,17,4636821,4643217,Tier 3A,,,TRUE,""
CXCL17,ENSG00000189377,19,42932440,42947200,Tier 3B,,,TRUE,""
CXCL2,ENSG00000081041,4,74962752,74965010,Tier 3A,,,TRUE,""
CXCL3,ENSG00000163734,4,74902306,74904524,Tier 3A,,,TRUE,""
CXCL5,ENSG00000163735,4,74861359,74864496,Tier 3A,,,TRUE,""
CXCL6,ENSG00000124875,4,74702214,74714781,Tier 3B,,,TRUE,""
CXCL9,ENSG00000138755,4,76922428,76928641,Tier 3A,,,TRUE,""
CXCR1,ENSG00000163464,2,219027568,219031718,Tier 1,,,TRUE,""
CXCR2,ENSG00000180871,2,218990012,219001976,Tier 1,,,TRUE,""
CXCR3,ENSG00000186810,X,70835766,70838367,Tier 2,,,TRUE,""
CXCR4,ENSG00000121966,2,136871919,136875735,Tier 1,,,TRUE,""
CXCR5,ENSG00000160683,11,118754475,118768508,Tier 1,,,TRUE,""
CXCR6,ENSG00000172215,3,45982425,45989845,Tier 3B,,,TRUE,""
CYB5D2,ENSG00000167740,17,4046462,4090605,Tier 3B,,,TRUE,""
CYB5R3,ENSG00000100243,22,43013846,43045574,Tier 1,,,TRUE,""
CYBB,ENSG00000165168,X,37639264,37672714,Tier 2,,,TRUE,""
CYP11A1,ENSG00000140459,15,74630100,74660081,Tier 1,,,TRUE,""
CYP11B1,ENSG00000160882,8,143953772,143961262,Tier 1,,,TRUE,""
CYP11B2,ENSG00000179142,8,143991975,143999259,Tier 1,,,TRUE,""
CYP17A1,ENSG00000148795,10,104590288,104597290,Tier 1,,,TRUE,""
CYP19A1,ENSG00000137869,15,51500254,51630807,Tier 1,,,TRUE,""
CYP1A1,ENSG00000140465,15,75011883,75017951,Tier 1,,,TRUE,""
CYP1A2,ENSG00000140505,15,75041185,75048543,Tier 1,,,TRUE,""
CYP1B1,ENSG00000138061,2,38294116,38337044,Tier 1,,,TRUE,""
CYP20A1,ENSG00000119004,2,204103663,204163009,Tier 1,,,TRUE,""
CYP21A2,ENSG00000231852,6,32006042,32009447,Tier 3B,,,TRUE,""
CYP24A1,ENSG00000019186,20,52769988,52790512,Tier 1,,,TRUE,""
CYP26A1,ENSG00000095596,10,94833232,94837647,Tier 1,,,TRUE,""
CYP26B1,ENSG00000003137,2,72356367,72375167,Tier 3B,,,TRUE,""
CYP26C1,ENSG00000187553,10,94821021,94828454,Tier 1,,,TRUE,""
CYP27A1,ENSG00000135929,2,219646472,219680016,Tier 1,,,TRUE,""
CYP27B1,ENSG00000111012,12,58156117,58162769,Tier 1,,,TRUE,""
CYP2A13,ENSG00000197838,19,41594377,41602100,Tier 1,,,TRUE,""
CYP2A6,ENSG00000255974,19,41349443,41356352,Tier 1,,,TRUE,""
CYP2A7,ENSG00000198077,19,41381344,41388657,Tier 1,,,TRUE,""
CYP2B6,ENSG00000197408,19,41497204,41524303,Tier 1,,,TRUE,""
CYP2C18,ENSG00000108242,10,96443251,96495947,Tier 1,,,TRUE,""
CYP2C19,ENSG00000165841,10,96447911,96613017,Tier 1,,,TRUE,""
CYP2C8,ENSG00000138115,10,96796530,96829254,Tier 1,,,TRUE,""
CYP2C9,ENSG00000138109,10,96698415,96749147,Tier 1,,,TRUE,""
CYP2D6,ENSG00000100197,22,42522501,42526908,Tier 1,,,TRUE,""
CYP2E1,ENSG00000130649,10,135333910,135374724,Tier 1,,,TRUE,""
CYP2F1,ENSG00000197446,19,41620337,41634271,Tier 1,,,TRUE,""
CYP2J2,ENSG00000134716,1,60358980,60392462,Tier 1,,,TRUE,""
CYP2R1,ENSG00000186104,11,14899553,14913798,Tier 1,,,TRUE,""
CYP2S1,ENSG00000167600,19,41698954,41713444,Tier 1,,,TRUE,""
CYP2U1,ENSG00000155016,4,108852525,108874613,Tier 3B,,,TRUE,""
CYP2W1,ENSG00000073067,7,1022835,1029276,Tier 3B,,,TRUE,""
CYP39A1,ENSG00000146233,6,46517541,46620523,Tier 1,,,TRUE,""
CYP3A4,ENSG00000160868,7,99354604,99381888,Tier 1,,,TRUE,""
CYP3A43,ENSG00000021461,7,99425636,99463718,Tier 1,,,TRUE,""
CYP3A5,ENSG00000106258,7,99245817,99277621,Tier 1,,,TRUE,""
CYP3A7,ENSG00000160870,7,99302660,99332819,Tier 1,,,TRUE,""
CYP46A1,ENSG00000036530,14,100150641,100193638,Tier 1,,,TRUE,""
CYP4A11,ENSG00000187048,1,47394849,47407156,Tier 1,,,TRUE,""
CYP4A22,ENSG00000162365,1,47603107,47615413,Tier 3B,,,TRUE,""
CYP4B1,ENSG00000142973,1,47223510,47285085,Tier 1,,,TRUE,""
CYP4F11,ENSG00000171903,19,16023177,16045677,Tier 1,,,TRUE,""
CYP4F12,ENSG00000186204,19,15783567,15807984,Tier 1,,,TRUE,""
CYP4F2,ENSG00000186115,19,15988833,16008930,Tier 1,,,TRUE,""
CYP4F22,ENSG00000171954,19,15619304,15663128,Tier 3B,,,TRUE,""
CYP4F3,ENSG00000186529,19,15751707,15773635,Tier 1,,,TRUE,""
CYP4F8,ENSG00000186526,19,15726029,15741448,Tier 1,,,TRUE,""
CYP4V2,ENSG00000145476,4,187112674,187134610,Tier 3B,,,TRUE,""
CYP4X1,ENSG00000186377,1,47427036,47516423,Tier 3B,,,TRUE,""
CYP4Z1,ENSG00000186160,1,47533160,47583991,Tier 1,,,TRUE,""
CYP51A1,ENSG00000001630,7,91741465,91772266,Tier 1,,,TRUE,""
CYP7A1,ENSG00000167910,8,59402737,59412795,Tier 1,,,TRUE,""
CYP7B1,ENSG00000172817,8,65500320,65711318,Tier 1,,,TRUE,""
CYP8B1,ENSG00000180432,3,42897497,42917633,Tier 1,,,TRUE,""
CYR61,ENSG00000142871,1,86046444,86049645,Tier 3B,,,TRUE,""
CYSLTR1,ENSG00000173198,X,77526961,77583048,Tier 1,,,TRUE,""
CYSLTR2,ENSG00000152207,13,49280951,49283498,Tier 3B,,,TRUE,""
CYTL1,ENSG00000170891,4,5016313,5021199,Tier 3B,,,TRUE,""
DAG1,ENSG00000173402,3,49506146,49573048,Tier 3B,,,TRUE,""
DAGLA,ENSG00000134780,11,61447905,61514473,Tier 1,,,TRUE,""
DAGLB,ENSG00000164535,7,6448757,6523821,Tier 1,,,TRUE,""
DAND5,ENSG00000179284,19,13075973,13085567,Tier 3B,,,TRUE,""
DAO,ENSG00000110887,12,109252708,109294819,Tier 2,,,TRUE,""
DAPK1,ENSG00000196730,9,90112143,90323548,Tier 1,,,TRUE,""
DAPK2,ENSG00000035664,15,64199235,64364232,Tier 1,,,TRUE,""
DAPK3,ENSG00000167657,19,3958451,3971121,Tier 1,,,TRUE,""
DARC,ENSG00000213088,1,159173097,159176290,Tier 3A,,,TRUE,""
DBF4,ENSG00000006634,7,87505531,87538856,Tier 2,,,TRUE,""
DBH,ENSG00000123454,9,136501482,136524466,Tier 2,,,TRUE,""
DCD,ENSG00000161634,12,55038375,55042277,Tier 3A,,,TRUE,""
DCK,ENSG00000156136,4,71858255,71896631,Tier 2,,,TRUE,""
DCLK1,ENSG00000133083,13,36345478,36705443,Tier 1,,,TRUE,""
DCLK2,ENSG00000170390,4,150999426,151178609,Tier 2,,,TRUE,""
DCLK3,ENSG00000163673,3,36753913,36781352,Tier 1,,,TRUE,""
DCN,ENSG00000011465,12,91539025,91576900,Tier 3B,,,TRUE,""
DCPS,ENSG00000110063,11,126173647,126215644,Tier 1,,,TRUE,""
DCT,ENSG00000080166,13,95089558,95131936,Tier 3B,,,TRUE,""
DDC,ENSG00000132437,7,50526134,50633154,Tier 1,,,TRUE,""
DDO,ENSG00000203797,6,110712974,110736765,Tier 1,,,TRUE,""
DDOST,ENSG00000244038,1,20978270,20988000,Tier 3B,,,TRUE,""
DDR1,ENSG00000204580,6,30844198,30867933,Tier 1,,,TRUE,""
DDR2,ENSG00000162733,1,162601163,162757190,Tier 1,,,TRUE,""
DDX3X,ENSG00000215301,X,41192651,41223725,Tier 2,,,TRUE,""
DEAF1,ENSG00000177030,11,644233,706715,Tier 3B,,,TRUE,""
DEFA1,ENSG00000206047,8,6835171,6837602,Tier 3A,,,TRUE,""
DEFA1B,ENSG00000240247,8,6854288,6875778,Tier 3A,,,TRUE,""
DEFA3,ENSG00000239839,8,6873391,6875823,Tier 3A,,,TRUE,""
DEFA4,ENSG00000164821,8,6793344,6795860,Tier 3A,,,TRUE,""
DEFA5,ENSG00000164816,8,6912831,6914256,Tier 3B,,,TRUE,""
DEFA6,ENSG00000164822,8,6782215,6783598,Tier 3A,,,TRUE,""
DEFB1,ENSG00000164825,8,6728097,6735544,Tier 3B,,,TRUE,""
DEFB103A,ENSG00000176797,8,7738726,7740186,Tier 3B,,,TRUE,""
DEFB103B,ENSG00000177243,8,7286410,7287870,Tier 3B,,,TRUE,""
DEFB104A,ENSG00000176782,8,7693993,7698764,Tier 3B,,,TRUE,""
DEFB104B,ENSG00000177023,8,7327830,7332604,Tier 3B,,,TRUE,""
DEFB105A,ENSG00000186562,8,7679488,7681411,Tier 3B,,,TRUE,""
DEFB105B,ENSG00000186599,8,7345191,7347115,Tier 3B,,,TRUE,""
DEFB106A,ENSG00000186579,8,7682694,7686575,Tier 3B,,,TRUE,""
DEFB106B,ENSG00000187082,8,7340026,7343922,Tier 3B,,,TRUE,""
DEFB107A,ENSG00000186572,8,7669242,7673238,Tier 3B,,,TRUE,""
DEFB107B,ENSG00000198129,8,7353368,7366833,Tier 3B,,,TRUE,""
DEFB108B,ENSG00000184276,11,71544246,71548756,Tier 3B,,,TRUE,""
DEFB110,ENSG00000203970,6,49976851,49989694,Tier 3B,,,TRUE,""
DEFB112,ENSG00000180872,6,50011288,50016364,Tier 3B,,,TRUE,""
DEFB113,ENSG00000214642,6,49936390,49937338,Tier 3B,,,TRUE,""
DEFB114,ENSG00000177684,6,49927962,49931818,Tier 3B,,,TRUE,""
DEFB115,ENSG00000215547,20,29845467,29847435,Tier 3B,,,TRUE,""
DEFB116,ENSG00000215545,20,29891015,29896388,Tier 3B,,,TRUE,""
DEFB118,ENSG00000131068,20,29956421,29961726,Tier 3B,,,TRUE,""
DEFB126,ENSG00000125788,20,123010,126392,Tier 3A,,,TRUE,""
DEFB127,ENSG00000088782,20,138111,139804,Tier 3A,,,TRUE,""
DEFB4A,ENSG00000171711,8,7752151,7754233,Tier 3B,,,TRUE,""
DERL1,ENSG00000136986,8,124025404,124054663,Tier 3B,,,TRUE,""
DGAT1,ENSG00000185000,8,145539954,145550573,Tier 2,,,TRUE,""
DGCR6,ENSG00000183628,22,18893541,18901751,Tier 3B,,,TRUE,""
DHCR7,ENSG00000172893,11,71139239,71163914,Tier 1,,,TRUE,""
DHFR,ENSG00000228716,5,79922047,79950802,Tier 1,,,TRUE,""
DHFRL1,ENSG00000178700,3,93766680,93782233,Tier 2,,,TRUE,""
DHH,ENSG00000139549,12,49483204,49488602,Tier 3A,,,TRUE,""
DHODH,ENSG00000102967,16,72042487,72058954,Tier 1,,,TRUE,""
DHRS1,ENSG00000157379,14,24759804,24769039,Tier 1,,,TRUE,""
DHRS12,ENSG00000102796,13,52342129,52378293,Tier 1,,,TRUE,""
DHRS13,ENSG00000167536,17,27224799,27230089,Tier 1,,,TRUE,""
DHRS2,ENSG00000100867,14,24099324,24114848,Tier 1,,,TRUE,""
DHRS3,ENSG00000162496,1,12627939,12677737,Tier 1,,,TRUE,""
DHRS4,ENSG00000157326,14,24422795,24438488,Tier 1,,,TRUE,""
DHRS4L2,ENSG00000187630,14,24439148,24475617,Tier 1,,,TRUE,""
DHRS7,ENSG00000100612,14,60610838,60636574,Tier 1,,,TRUE,""
DHRS7B,ENSG00000109016,17,21026677,21096578,Tier 1,,,TRUE,""
DHRS7C,ENSG00000184544,17,9674751,9694614,Tier 1,,,TRUE,""
DHRS9,ENSG00000073737,2,169921299,169952677,Tier 1,,,TRUE,""
DHRSX,ENSG00000169084,X,2137557,2420846,Tier 1,,,TRUE,""
DIO1,ENSG00000211452,1,54356912,54376759,Tier 1,,,TRUE,""
DIO3,ENSG00000197406,14,102027688,102029789,Tier 3B,,,TRUE,""
DKK1,ENSG00000107984,10,54074056,54077802,Tier 1,,,TRUE,""
DKK2,ENSG00000155011,4,107842959,108204963,Tier 3A,,,TRUE,""
DKK3,ENSG00000050165,11,11984653,12031316,Tier 3A,,,TRUE,""
DKK4,ENSG00000104371,8,42231586,42234750,Tier 3B,,,TRUE,""
DKKL1,ENSG00000104901,19,49865040,49878373,Tier 3A,,,TRUE,""
DLD,ENSG00000091140,7,107531415,107572175,Tier 3A,,,TRUE,""
DLK1,ENSG00000185559,14,101192042,101201539,Tier 1,,,TRUE,""
DLL4,ENSG00000128917,15,41221538,41231237,Tier 1,,,TRUE,""
DMBT1,ENSG00000187908,10,124320181,124403252,Tier 3B,,,TRUE,""
DMD,ENSG00000198947,X,31115794,33357558,Tier 1,,,TRUE,""
DMKN,ENSG00000161249,19,35988122,36004560,Tier 3A,,,TRUE,""
DMP1,ENSG00000152592,4,88571459,88585513,Tier 3B,,,TRUE,""
DMPK,ENSG00000104936,19,46272975,46285810,Tier 1,,,TRUE,""
DNAJA1,ENSG00000086061,9,33025209,33039905,Tier 2,,,TRUE,""
DNAJB11,ENSG00000090520,3,186285192,186315061,Tier 3B,,,TRUE,""
DNASE1,ENSG00000213918,16,3661729,3730144,Tier 3A,,,TRUE,""
DNASE1L3,ENSG00000163687,3,58177984,58200424,Tier 3A,,,TRUE,""
DNMT1,ENSG00000130816,19,10244021,10341962,Tier 1,,,TRUE,""
DNMT3A,ENSG00000119772,2,25455845,25565459,Tier 1,,,TRUE,""
DNMT3B,ENSG00000088305,20,31350191,31397162,Tier 2,,,TRUE,""
DNPEP,ENSG00000123992,2,220238268,220264744,Tier 2,,,TRUE,""
DOT1L,ENSG00000104885,19,2164148,2232577,Tier 2,,,TRUE,""
DPEP1,ENSG00000015413,16,89679716,89704839,Tier 1,,,TRUE,""
DPEP2,ENSG00000167261,16,68021297,68034489,Tier 2,,,TRUE,""
DPEP3,ENSG00000141096,16,68009566,68014732,Tier 3B,,,TRUE,""
DPP10,ENSG00000175497,2,115199876,116603328,Tier 3B,,,TRUE,""
DPP4,ENSG00000197635,2,162848751,162931052,Tier 1,,,TRUE,""
DPP6,ENSG00000130226,7,153584182,154685995,Tier 3B,,,TRUE,""
DPP7,ENSG00000176978,9,140004994,140009629,Tier 2,,,TRUE,""
DPP8,ENSG00000074603,15,65734801,65810042,Tier 2,,,TRUE,""
DPP9,ENSG00000142002,19,4675236,4724685,Tier 1,,,TRUE,""
DPT,ENSG00000143196,1,168664697,168698502,Tier 3A,,,TRUE,""
DPYD,ENSG00000188641,1,97543299,98386605,Tier 1,,,TRUE,""
DRAXIN,ENSG00000162490,1,11751786,11785914,Tier 3A,,,TRUE,""
DRD1,ENSG00000184845,5,174867042,174871211,Tier 1,,,TRUE,""
DRD2,ENSG00000149295,11,113280318,113346413,Tier 1,,,TRUE,""
DRD3,ENSG00000151577,3,113847499,113918254,Tier 1,,,TRUE,""
DRD4,ENSG00000069696,11,637293,640706,Tier 1,,,TRUE,""
DRD5,ENSG00000169676,4,9783258,9785632,Tier 1,,,TRUE,""
DSCAM,ENSG00000171587,21,41382926,42219065,Tier 3A,,,TRUE,""
DSPP,ENSG00000152591,4,88529681,88538062,Tier 3B,,,TRUE,""
DST,ENSG00000151914,6,56322785,56819426,Tier 3B,,,TRUE,""
DSTYK,ENSG00000133059,1,205111632,205180727,Tier 1,,,TRUE,""
DUSP3,ENSG00000108861,17,41843489,41856356,Tier 2,,,TRUE,""
DUT,ENSG00000128951,15,48623208,48635570,Tier 2,,,TRUE,""
DYRK1A,ENSG00000157540,21,38738092,38889753,Tier 1,,,TRUE,""
DYRK1B,ENSG00000105204,19,40315990,40324841,Tier 1,,,TRUE,""
DYRK2,ENSG00000127334,12,68042118,68059186,Tier 1,,,TRUE,""
DYRK3,ENSG00000143479,1,206808881,206857764,Tier 2,,,TRUE,""
DYRK4,ENSG00000010219,12,4671370,4723325,Tier 2,,,TRUE,""
EBI3,ENSG00000105246,19,4229495,4237528,Tier 3B,,,TRUE,""
EBP,ENSG00000147155,X,48379546,48387104,Tier 1,,,TRUE,""
EBPL,ENSG00000123179,13,50234859,50265611,Tier 1,,,TRUE,""
ECE1,ENSG00000117298,1,21543740,21671997,Tier 2,,,TRUE,""
ECM1,ENSG00000143369,1,150480538,150486265,Tier 3B,,,TRUE,""
ECM2,ENSG00000106823,9,95256365,95298937,Tier 3B,,,TRUE,""
EDA,ENSG00000158813,X,68835911,69259319,Tier 3A,,,TRUE,""
EDAR,ENSG00000135960,2,109510927,109605828,Tier 3A,,,TRUE,""
EDDM3A,ENSG00000181562,14,21214051,21216539,Tier 3A,,,TRUE,""
